datetime,tamin_degC,tamax_degC,ptot_mm
1987-09-28,2.501210899,5.919530124664306,0.7362284660339355
1987-09-29,0.597159238,7.273656101226806,2.033315658569336
1987-09-30,1.012186022,8.938844413757325,2.79075288772583
1987-10-01,-1.608089952,4.125508995056152,2.2137818336486816
1987-10-02,-3.355511456,2.089420766830444,1.0670980215072632
1987-10-03,-2.179103642,1.9688865852355957,0.0
1987-10-04,-1.482077329,7.919379920959472,0.0
1987-10-05,-0.353717028,5.4726168823242185,0.0
1987-10-06,0.370069773,7.385778636932373,0.7557117342948914
1987-10-07,1.371318789,6.807806224822998,4.587164402008057
1987-10-08,0.477687211,3.8953201484680173,0.7244122624397278
1987-10-09,-0.06957206,3.1913692665100095,13.134397506713867
1987-10-10,-2.226990371,1.9143566799163818,0.04726996645331383
1987-10-11,-3.485233335,1.0579416465759277,3.1446421146392822
1987-10-12,-3.600277214,0.5983726692199707,3.6790976524353027
1987-10-13,-3.10179594,0.42682179927825925,3.7499840259552
1987-10-14,-1.254993646,2.8915407371520994,5.3769450187683105
1987-10-15,-0.039717464,4.010755748748779,10.745789527893066
1987-10-16,-1.835546045,1.9970578861236572,0.9378365874290466
1987-10-17,-2.990754633,1.1180728387832641,0.053292568773031235
1987-10-18,-4.070238142,2.33354660987854,0.1786191612482071
1987-10-19,-2.486448436,1.8899323654174804,1.0336037874221802
1987-10-20,-0.585740945,2.2270917606353757,1.426284909248352
1987-10-21,-4.493562012,1.9512819957733154,0.12156238406896591
1987-10-22,-3.913233786,-0.7140211749076844,0.0
1987-10-23,-5.660161762,-0.20785295844078067,0.5585367679595947
1987-10-24,-4.949917583,-0.7752028691768647,2.3464696407318115
1987-10-25,-5.722640305,-0.15004607915878299,1.9533214569091797
1987-10-26,-3.923769979,1.464612693786621,0.0
1987-10-27,-0.757283001,3.9113399696350095,2.3827316761016846
1987-10-28,-0.737522869,3.987388820648193,0.15146692097187042
1987-10-29,-2.62834218,0.8571467113494873,0.21880845725536346
1987-10-30,-4.409889727,-0.2728107857704163,1.0710413455963135
1987-10-31,-4.857883244,-0.4290277945995331,0.16812463104724884
1987-11-01,-5.286432056,-0.5639701902121306,12.211345672607422
1987-11-02,-7.882648258,-1.182568817138672,2.5148985385894775
1987-11-03,-3.688138752,1.3033674669265747,7.7230000495910645
1987-11-04,-2.510624437,0.7813636970520019,5.437678337097168
1987-11-05,-3.372110634,0.6703729343414306,5.642991065979004
1987-11-06,-5.637295513,-1.3856398153305054,1.82548987865448
1987-11-07,-6.943464069,-2.7713830757141116,9.17747688293457
1987-11-08,-7.837120323,-0.3727494615316391,9.302483558654785
1987-11-09,-3.053338795,-2.879453687667847,4.042829513549805
1987-11-10,-7.676641731,-1.2966144967079163,2.2990853786468506
1987-11-11,-8.436025887,-2.8275373268127444,0.2884679436683655
1987-11-12,-11.6257613,-1.6554075765609741,0.012203519232571125
1987-11-13,-11.17381027,-5.576801090240479,1.7655972242355347
1987-11-14,-10.83685234,-4.885803489685059,1.8811310529708862
1987-11-15,-10.91442326,-5.025869636535645,2.645740032196045
1987-11-16,-10.30869892,-6.290672569274903,5.553051948547363
1987-11-17,-7.55092886,0.48798939704895017,4.319313049316406
1987-11-18,-3.824164181,1.2133611154556274,1.9346082210540771
1987-11-19,-9.892841606,-1.923061876296997,1.9704437255859375
1987-11-20,-13.09596184,-5.595664291381836,1.247114658355713
1987-11-21,-21.75331047,-8.445613651275634,0.9514548182487488
1987-11-22,-16.87283066,-8.625325469970702,1.7846300601959229
1987-11-23,-15.9118388,-4.683196811676026,1.8504446744918823
1987-11-24,-7.881435184,-2.8564753818511965,0.1394169181585312
1987-11-25,-8.003315716,-4.309280185699463,0.6897183060646057
